Sl. No.,Make,Model,Variant,Displacement,Cylinders,Valves_Per_Cylinder,Drivetrain,Cylinder_Configuration,Engine_Location,Fuel_System,Fuel_Tank_Capacity_litre,Fuel_Type,Height_mm,Length_mm,Width_mm,Body_Type,Doors,City_Mileage_km_litre,Highway_Mileage_km_litre,ARAI_Certified_Mileage,ARAI_Certified_Mileage_for_CNG,Kerb_Weight,Gears,Ground_Clearance,Front_Brakes,Rear_Brakes,Front_Suspension,Rear_Suspension,Front_Track,Rear_Track,Front_Tyre_&_Rim,Rear_Tyre_&_Rim,Power_Steering,Power_Windows,Power_Seats,Keyless_Entry,Power,Torque,Odometer,Speedometer,Tachometer,Tripmeter,Seating_Capacity,Seats_Material,Type,Wheelbase,Wheels_Size,Start_/_Stop_Button,12v_Power_Outlet,Audiosystem,Aux-in_Compatibility,Average_Fuel_Consumption,Basic_Warranty,Bluetooth,Boot-lid_Opener,Boot_Space_litre,CD_/_MP3_/_DVD_Player,Central_Locking,Child_Safety_Locks,Clock,Cup_Holders,Distance_to_Empty,Door_Pockets,Engine_Malfunction_Light,Extended_Warranty,FM_Radio,Fuel-lid_Opener,Fuel_Gauge,Handbrake,Instrument_Console,Low_Fuel_Warning,Minimum_Turning_Radius,Multifunction_Display,Sun_Visor,Third_Row_AC_Vents,Ventilation_System,Auto-Dimming_Rear-View_Mirror,Hill_Assist,Gear_Indicator,3_Point_Seat-Belt_in_Middle_Rear_Seat,Ambient_Lightning,Cargo/Boot_Lights,Drive_Modes,Engine_Immobilizer,High_Speed_Alert_System,Lane_Watch_Camera/_Side_Mirror_Camera,Passenger_Side_Seat-Belt_Reminder,Seat_Back_Pockets,Voice_Recognition,Walk_Away_Auto_Car_Lock,ABS_(Anti-lock_Braking_System),Headlight_Reminder,Adjustable_Headrests,Gross_Vehicle_Weight,Airbags,Door_Ajar_Warning,EBD_(Electronic_Brake-force_Distribution),Fasten_Seat_Belt_Warning,Gear_Shift_Reminder,Number_of_Airbags,Compression_Ratio,Adjustable_Steering_Column,Other_Specs,Other_specs,Parking_Assistance,Key_Off_Reminder,USB_Compatibility,Android_Auto,Apple_CarPlay,Cigarette_Lighter,Infotainment_Screen,Multifunction_Steering_Wheel,Average_Speed,EBA_(Electronic_Brake_Assist),Seat_Height_Adjustment,Navigation_System,Second_Row_AC_Vents,Tyre_Pressure_Monitoring_System,Rear_Center_Armrest,iPod_Compatibility,ESP_(Electronic_Stability_Program),Cooled_Glove_Box,Recommended_Tyre_Pressure,Heated_Seats,Turbocharger,ISOFIX_(Child-Seat_Mount),Rain_Sensing_Wipers,Paddle_Shifters,Leather_Wrapped_Steering,Automatic_Headlamps,Engine_Type,ASR_/_Traction_Control,Cruise_Control,USB_Ports,Heads-Up_Display,Welcome_Lights,Battery,Electric_Range
25,Maruti Suzuki,Eeco,7 Str,1196,4,4,FWD (Front Wheel Drive),In-line,"Front, Longitudinal",Injection,40,Petrol,1800,3675,1475,MPV,5,12,15,15 km/litre,,940 kg,5,160 mm,Ventilated Disc,Drum,McPherson struts,3 Link Rigid,1280 mm,1290 mm,155 R13 LT,155 R13 LT,,,,,74PS@6000RPM,101Nm@3000rpm,Digital,Analog,Not on offer,Yes,7,Fabric,Manual,2350 mm,155 R13 LT,,,Not on offer,,,2 years /40000 Kms (years/distance whichever comes first),,Internal,250,,,Yes,,Not on offer,,,Yes,"3rd/4th year/up to 80,000 Kms (whichever comes first)",,Internal,Digital,Manual,Analog + Digital,Yes,4.5,Yes,Driver & Front Passenger,Not Applicable,,Yes,,,,,,Normal,,Yes,,Yes,,,,Yes,,,1540 kg,Driver frontal airbag,,Yes,,,1,9.9,Rake,,,Rear sensors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Maruti Suzuki,Eeco,5 Str With Ac+Htr,1196,4,4,RWD (Rear Wheel Drive),In-line,"Front, Longitudinal",Injection,40,Petrol,1800,3675,1475,MPV,5,11,15,15 km/litre,,928 kg,5,160 mm,Ventilated Disc,Drum,McPherson struts,3 Link Rigid,1280 mm,1290 mm,155 R13 LT,155 R13 LT,,,,,73PS@6000rpm,101Nm@3000rpm,Digital,Analog,Not on offer,Yes,5,Fabric,Manual,2350 mm,155 R13 LT,,,Not on offer,,,2 years /40000 Kms (years/distance whichever comes first),,Internal,400,,,Yes,,Not on offer,,,Yes,"3rd/4th year/up to 80,000 Kms (whichever comes first)",,Manual,Digital,Manual,Analog + Digital,Yes,4.5,Yes,Co-Driver Only,Not Applicable,Manual Air conditioning with cooling and heating,Yes,,,,,,,,,,,,,,,,,1510 kg,,,,,,,9.9,Rake,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Maruti Suzuki,Eeco,5 Str With Ac+Htr Cng,1196,4,4,RWD (Rear Wheel Drive),In-line,"Front, Longitudinal",Injection,40,CNG,1800,3675,1475,MPV,5,,,,20 km/kg,1050 kg,5,160 mm,Ventilated Disc,Drum,McPherson Strut,3 Link Rigid,1280 mm,1290 mm,155 R13 LT,155 R13 LT,,,,,62PS@6000rpm,85Nm@3000rpm,Digital,Analog,Not on offer,Yes,5,Fabric,Manual,2350 mm,155 R13 LT,,,Not on offer,,,2 years /40000 Kms (years/distance whichever comes first),,Internal,400,,,Yes,,Not on offer,,,Yes,"3rd/4th year/up to 80,000 Kms (whichever comes first)",,Manual,Digital,Manual,Analog + Digital,Yes,4.5,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,Yes,,,,,,Normal,,Yes,,Yes,,,,Yes,,,1510 kg,Driver frontal airbag,,Yes,,,1,9.9,Rake,,,Rear sensors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Maruti Suzuki,Eeco,5 Str With Htr Cng,1196,4,4,RWD (Rear Wheel Drive),In-line,"Front, Longitudinal",Injection,40,CNG,1800,3675,1475,MPV,5,,,,20 km/kg,1030 kg,5,160 mm,Ventilated Disc,Drum,McPherson struts,3 Link Rigid,1280 mm,1290 mm,155 R13 LT,155 R13 LT,,,,,62PS@6000rpm,85Nm@3000rpm,Digital,Analog,Not on offer,Yes,5,Fabric,Manual,2350 mm,155 R13 LT,,,Not on offer,,,2 years /40000 Kms (years/distance whichever comes first),,Internal,400,,,Yes,,Not on offer,,,Yes,"3rd/4th year/up to 80,000 Kms (whichever comes first)",,Manual,Digital,Manual,Analog + Digital,Yes,4.5,,Driver & Front Passenger,Not Applicable,Heater,Yes,,,,,,Normal,,Yes,,Yes,,,,Yes,,,1510 kg,Driver frontal airbag,,Yes,,,1,9.9,Rake,,,Rear sensors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Maruti Suzuki,Alto K10,Lxi,998,3,4,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,35,Petrol,1475,3545,1490,Hatchback,5,14,17,24.07 km/litre,,745 kg,5,160 mm,Ventilated Disc,Drum,Gas Filled Mc Pherson Strut,3-link rigid axle Suspension,1295 mm,1290 mm,155/65R13,155/65R13,Yes,,,,68PS@6000rpm,90Nm@3500rpm,Digital,Analog,Not on offer,Yes,5,Fabric,Manual,2360 mm,155/65R13,,,Not on offer,,,2 years /40000 Kms (years/distance whichever comes first),,Internal,177,,,Yes,,Front,,Front,Yes,"3rd/4th year/up to 80,000 Kms (whichever comes first)",,Internal,Digital,Manual,Analog + Digital,Yes,4.6,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,Yes,,,,,,,Yes,,Yes,,,,,Yes,,,1210 kg,Driver frontal airbag,,Yes,,,1,,,tubeless tyre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Maruti Suzuki,Alto K10,Vxi,998,3,4,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,35,Petrol,1475,3545,1490,Hatchback,5,14,17,24.07 km/litre,,750 kg,5,160 mm,Ventilated Disc,Drum,Gas Filled Mc Pherson Strut,3-link rigid axle Suspension,1295 mm,1290 mm,155/65R13,155/65R13,Yes,Only Front Windows,,,68PS@6200rpm,90Nm@3500rpm,Digital,Analog,Analog,Yes,5,Fabric,Manual,2360 mm,155/65R13,,Yes,CD/MP3 Player,,,2 years /40000 Kms (years/distance whichever comes first),,Internal,177,Yes,Yes,Yes,Digital,Front,,Front,Yes,"3rd/4th year/up to 80,000 Kms (whichever comes first)",Yes,Internal,Digital,Manual,Analog + Digital,Yes,4.6,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,Yes,,,,,,,Yes,,Yes,,,,,Yes,Yes,,1210 kg,Driver frontal airbag,,Yes,Yes,Yes,1,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Maruti Suzuki,Alto K10,Lx,998,3,4,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,35,Petrol,1475,3545,1490,Hatchback,5,19,24.07,24.07 km/litre,,740 kg,5,160 mm,Ventilated Disc,Drum,Gas Filled Mc Pherson Strut,3-link rigid axle Suspension,1295 mm,1290 mm,155/65R13,155/65R13,,,,,68PS@6000rpm,90Nm@3500rpm,Digital,Analog,Not on offer,Yes,5,Fabric,Manual,2360 mm,155/65R13,,,Not on offer,,,2 years /40000 Kms (years/distance whichever comes first),,Internal,177,,,Yes,,Front,,Front,Yes,"3rd/4th year/up to 80,000 Kms (whichever comes first)",,Internal,Digital,Manual,Analog + Digital,Yes,4.6,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,Yes,,,,,,,Yes,,,,,,,Yes,,,1210 kg,Driver frontal airbag,,Yes,,,1,,,tubeless tyre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Maruti Suzuki,Alto K10,Vxi (O),998,3,4,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,35,Petrol,1460,3620,1475,Hatchback,5,14,17,24.07 km/litre,,755 kg,5,160 mm,Ventilated Disc,Drum,Gas Filled Mc Pherson Strut,3-link rigid axle Suspension,1295 mm,1290 mm,155/65R13,155/65R13,Yes,Only Front Windows,,Remote,68PS@6000rpm,90Nm@3500rpm,Digital,Analog,Analog,Yes,5,Fabric,Manual,2360 mm,155/65R13,,Yes,Not on offer,,,2 years /40000 Kms (years/distance whichever comes first),,Internal,177,Yes,Yes,Yes,Digital,Front,,Front,Yes,"3rd/4th year/up to 80,000 Kms (whichever comes first)",Yes,Internal,Digital,Manual,Analog + Digital,Yes,4.6,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,,,Yes,,,,,Yes,,,,,,,,Yes,,1210 kg,Driver frontal airbag,,,Yes,,1,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Maruti Suzuki,Alto K10,Lxi Cng (O),998,3,4,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,35,CNG,1475,3545,1490,Hatchback,5,,,,32.26 km/kg,740 kg,5,160 mm,Ventilated Disc,Drum,Gas Filled Mc Pherson Strut,3-link rigid axle Suspension,1295 mm,1290 mm,155/65R13,155/65R13,Yes,,,,59PS@6000rpm,78Nm@3500rpm,Digital,Analog,Not on offer,Yes,5,Fabric,Manual,2360 mm,155/65R13,,,Not on offer,,,,,Internal,177,,,Yes,,Front,,Front,Yes,,,Internal,Digital,Manual,Analog + Digital,Yes,4.6,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,Yes,,,,,,,Yes,,,,,,,,,,1210 kg,Driver frontal airbag,,,,,1,10.0:1,,tubeless tyre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Maruti Suzuki,Alto K10,Vxi Amt (O),998,3,4,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,35,Petrol,1475,3545,1490,Hatchback,5,14,17,24.07 km/litre,,755 kg,5,160 mm,Ventilated Disc,Drum,Gas Filled Mc Pherson Strut,3-link rigid axle Suspension,1295 mm,1290 mm,155/65R13,155/65R13,Yes,Only Front Windows,,,68PS@6000rpm,90Nm@3500rpm,Digital,Analog,Analog,Yes,5,Fabric,Automatic,2360 mm,155/65R13,,Yes,CD Player with USB & Aux-in,,,,,Internal,177,Yes,Yes,Yes,Digital,Front,,Front,Yes,,Yes,Internal,Digital,Manual,Analog + Digital,Yes,4.6,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,Yes,,Yes,,,,,Yes,,,,,,,,Yes,,1210 kg,Driver frontal airbag,,,Yes,,1,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Datsun,Go,D,1198,3,4,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,35,Petrol,1507,3788,1636,Hatchback,5,,,20.1 km/litre,,864 kg,5,180 mm,Ventilated Disc,Drum,MacPherson Strut with anti-roll bar,H-type Torsion Beam,1440 mm,1445 mm,155/70R13,155/70R13,,Only Front Windows,,,68PS@5000rpm,104Nm@4000rpm,Digital,Analog,Digital,2,5,Fabric,Manual,2450 mm,155/70R13,,Yes,Not on offer,,Yes,2 years / Unlimited Kms,,"Internal, With Remote",265,,Yes,Yes,,Not on offer,Yes,,Yes,2 Years/Unlimited Kms (Whichever comes earlier),,"With Remote, Internal",Digital,Manual,Analog + Digital,Yes,4.6,Yes,Driver & Front Passenger,Not Applicable,Heater,Yes,,Yes,,,,,Yes,,,,,,,Yes,,All Rows,,"Driver frontal airbag, Front passenger frontal airbag",,Yes,Yes,Yes,2,,,,,Rear sensors,,,,,,,,Yes,Yes,Manual Adjustment,,,,,,,,,,,,,,,,,,,,,,,
36,Datsun,Go,T,1198,3,4,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,35,Petrol,1507,3788,1636,Hatchback,5,,,20.1 km/litre,,864 kg,5,180 mm,Ventilated Disc,Drum,MacPherson Strut with anti-roll bar,H-type Torsion Beam,1440 mm,1445 mm,155/70R13,155/70R13,Electric Power,All Windows,,,68PS@5000rpm,104Nm@4000rpm,Digital,Analog,"Analog, Digital",2,5,Fabric,Manual,2450 mm,155/70R13,,Yes,USB & Aux-in,Yes,Yes,2 years / Unlimited Kms,,Internal,265,,Yes,Yes,Digital,Front,Yes,Front,Yes,2 Years/Unlimited Kms (Whichever comes earlier),,Internal,Digital,Manual,Analog + Digital,Yes,4.6,Yes,Driver & Front Passenger,Not Applicable,"Heater, Manual Air conditioning with cooling and heating",Yes,,Yes,,,,,Yes,,,,,,,Yes,Yes,All Rows,,"Driver frontal airbag, Front passenger frontal airbag",,Yes,Yes,Yes,2,,,,,Rear sensors,,Yes,,,,,,Yes,Yes,Manual Adjustment,Yes,,,,,,,,,,,,,,,,,,,,,,
37,Datsun,Go,T (O),1198,3,4,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,35,Petrol,1507,3788,1636,Hatchback,5,20.6,,20.1 km/litre,,864 kg,5,180 mm,Ventilated Disc,Drum,MacPherson Strut with anti-roll bar,H-type Torsion Beam,1440 mm,1445 mm,155/70R13,155/70R13,Electric Power,All Windows,,,68PS@5000rpm,104Nm@4000rpm,Digital,Analog,"Digital, Analog",2,5,Fabric,Manual,2450 mm,155/70R13,,Yes,USB & Aux-in,Yes,Yes,2 years / Unlimited Kms,,"Internal, With Remote",265,,Yes,Yes,Digital,Front,Yes,Front,Yes,2 Years/Unlimited Kms (Whichever comes earlier),,"With Remote, Internal",Digital,Manual,Analog + Digital,Yes,4.6,Yes,Driver & Front Passenger,Not Applicable,"Heater, Manual Air conditioning with cooling and heating",Yes,,Yes,,,,,Yes,,,,,,,Yes,Yes,All Rows,,"Driver frontal airbag, Front passenger frontal airbag",,Yes,Yes,,2,,,,,Rear sensors,,Yes,,,,,,Yes,Yes,Manual Adjustment,Yes,,,,,,,,,,,,,,,,,,,,,,
38,Datsun,Go,A (O),1198,3,4,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,35,Petrol,1507,3788,1636,Hatchback,5,20.6,,20.1 km/litre,,864 kg,5,180 mm,Ventilated Disc,Drum,MacPherson Strut with anti-roll bar,H-type Torsion Beam,1440 mm,1445 mm,155/70R13,155/70R13,Electric Power,All Windows,,,68PS@5000rpm,104Nm@4000rpm,Digital,Analog,Digital,2,5,Fabric,Manual,2450 mm,155/70R13,,Yes,Not on offer,,Yes,2 years / Unlimited Kms,,Internal,265,,Yes,Yes,,Front,Yes,Front,Yes,2 Years/Unlimited Kms (Whichever comes earlier),,Internal,Digital,Manual,Analog + Digital,Yes,4.6,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,Yes,,Yes,,,,,Yes,,,,,,,Yes,Yes,All Rows,,"Driver frontal airbag, Front passenger frontal airbag",,Yes,Yes,Yes,2,,,,,Rear sensors,,,,,,,,Yes,Yes,Manual Adjustment,,,,,,,,,,,,,,,,,,,,,,,
39,Datsun,Go,A,1198,3,4,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,35,Petrol,1507,3788,1636,Hatchback,5,20.6,,20.1 km/litre,,864 kg,5,180 mm,Ventilated Disc,Drum,MacPherson Strut with anti-roll bar,H-type Torsion Beam,1440 mm,1445 mm,155/70R13,155/70R13,Electric Power,Only Front Windows,,,68PS@5000rpm,104Nm@4000rpm,Digital,Analog,Digital,2,5,Fabric,Manual,2450 mm,155/70R13,,Yes,Not on offer,,Yes,2 years / Unlimited Kms,,Internal,265,,Yes,Yes,,Front,Yes,Front,Yes,2 Years/Unlimited Kms (Whichever comes earlier),,Internal,Digital,Manual,Analog + Digital,Yes,4.6,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,Yes,,Yes,,,,,Yes,,,,,,,Yes,Yes,All Rows,,"Driver frontal airbag, Front passenger frontal airbag",,Yes,Yes,Yes,2,,,,,Rear sensors,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,
40,Datsun,Go,T Vdc,1198,3,4,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,35,Petrol,1507,3788,1636,Hatchback,5,,,20.1 km/litre,,864 kg,5,180 mm,Ventilated Disc,Drum,MacPherson Strut with anti-roll bar,H-type Torsion Beam,1440 mm,1445 mm,155/70R13,155/70R13,Electric Power,All Windows,,,68PS@5000rpm,104Nm@4000rpm,Digital,Analog,"Analog, Digital",2,5,Fabric,Manual,2450 mm,155/70R13,,Yes,USB & Aux-in,Yes,Yes,2 years / Unlimited Kms,,Internal,265,,Yes,Yes,Digital,Front,Yes,Front,Yes,2 Years/Unlimited Kms (Whichever comes earlier),,Internal,Digital,Manual,Analog + Digital,Yes,4.6,Yes,Driver & Front Passenger,Not Applicable,"Heater, Manual Air conditioning with cooling and heating",Yes,,Yes,,,,,Yes,,,,,,,Yes,Yes,All Rows,,"Driver frontal airbag, Front passenger frontal airbag",,Yes,Yes,Yes,2,,,,,Rear sensors,,Yes,,,,,,Yes,Yes,Manual Adjustment,Yes,,,,,,,,,,,,,,,,,,,,,,
41,Datsun,Go,T (O) Vdc,1198,3,4,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,35,Petrol,1507,3788,1636,Hatchback,5,20.6,,20.1 km/litre,,864 kg,5,180 mm,Ventilated Disc,Drum,MacPherson Strut with anti-roll bar,H-type Torsion Beam,1440 mm,1445 mm,155/70R13,155/70R13,Electric Power,All Windows,,,68PS@5000rpm,104Nm@4000rpm,Digital,Analog,"Digital, Analog",2,5,Fabric,Manual,2450 mm,155/70R13,,Yes,USB & Aux-in,Yes,Yes,2 years / Unlimited Kms,,"Internal, With Remote",265,,Yes,Yes,Digital,Front,Yes,Front,Yes,2 Years/Unlimited Kms (Whichever comes earlier),,"With Remote, Internal",Digital,Manual,Analog + Digital,Yes,4.6,Yes,Driver & Front Passenger,Not Applicable,"Heater, Manual Air conditioning with cooling and heating",Yes,,Yes,,,,,Yes,,,,,,,Yes,Yes,All Rows,,"Driver frontal airbag, Front passenger frontal airbag",,Yes,Yes,,2,,,,,Rear sensors,,Yes,,,,,,Yes,Yes,Manual Adjustment,Yes,,,,,,,,,,,,,,,,,,,,,,
42,Datsun,Go,T Cvt,1198,3,4,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,35,Petrol,1507,3788,1636,Hatchback,5,,,20.1 km/litre,,864 kg,5,180 mm,Ventilated Disc,Drum,MacPherson Strut with anti-roll bar,H-type Torsion Beam,1440 mm,1445 mm,155/70R13,155/70R13,Electric Power,All Windows,,,78PS@5000rpm,104Nm@4000rpm,Digital,Analog,"Analog, Digital",2,5,Fabric,Manual,2450 mm,155/70R13,,Yes,USB & Aux-in,Yes,Yes,2 years / Unlimited Kms,,Internal,265,,Yes,Yes,Digital,Front,Yes,Front,Yes,2 Years/Unlimited Kms (Whichever comes earlier),,Internal,Digital,Manual,Analog + Digital,Yes,4.6,Yes,Driver & Front Passenger,Not Applicable,"Heater, Manual Air conditioning with cooling and heating",Yes,,Yes,,,,,Yes,,,,,,,Yes,Yes,All Rows,,"Driver frontal airbag, Front passenger frontal airbag",,Yes,Yes,Yes,2,,,,,Rear sensors,,Yes,,,,,,Yes,Yes,Manual Adjustment,Yes,,,,,,,,,,,,,,,,,,,,,,
43,Datsun,Go,T (O) Cvt,1198,3,4,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,35,Petrol,1507,3788,1636,Hatchback,5,20.6,,20.1 km/litre,,864 kg,5,180 mm,Ventilated Disc,Drum,MacPherson Strut with anti-roll bar,H-type Torsion Beam,1440 mm,1445 mm,155/70R13,155/70R13,Electric Power,All Windows,,,78PS@5000rpm,104Nm@4000rpm,Digital,Analog,"Analog, Digital",2,5,Fabric,Manual,2450 mm,155/70R13,,Yes,USB & Aux-in,Yes,Yes,2 years / Unlimited Kms,,"Internal, With Remote",265,,Yes,Yes,Digital,Front,Yes,Front,Yes,2 Years/Unlimited Kms (Whichever comes earlier),,"Internal, With Remote",Digital,Manual,Analog + Digital,Yes,4.6,Yes,Driver & Front Passenger,Not Applicable,"Heater, Manual Air conditioning with cooling and heating",Yes,,Yes,,,,,Yes,,,,,,,Yes,Yes,All Rows,,"Driver frontal airbag, Front passenger frontal airbag",,Yes,Yes,,2,,,,,Rear sensors,,Yes,Yes,Yes,,Touch Sensitive,,Yes,Yes,Manual Adjustment,Yes,,,,,,,,,,,,,,,,,,,,,,
44,Maruti Suzuki,Celerio Tour,H2,998,3,4,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,35,Petrol,1560,3600,1600,Hatchback,5,23,,23.1 km/litre,,830 kg,5,165 mm,Ventilated Disc,Drum,Macpherson strut with Coil Spring,Coupled Torsion Beam Axle with coil spring,1420 mm,1410 mm,155/80R13,155/80R13,Electric Power,,,,68PS@6000rpm,90Nm@3500rpm,Digital,Analog,Not on offer,Yes,5,Fabric,Manual,2425 mm,155/80R13,,,Not on offer,,Yes,2 years /40000 Kms (years/distance whichever comes first),,Manual,235,,,Yes,Digital,Front,Yes,Front & Rear,Yes,"3rd/4th year/up to 80,000 Kms (whichever comes first)",,Internal,Digital,Manual,Analog + Digital,Yes,4.7,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,Yes,,,,,,,Yes,,,,,,,Yes,Yes,,1250 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,,,,2,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Maruti Suzuki,Celerio Tour,H2 Cng,998,3,4,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,60,CNG,1560,3695,1600,Hatchback,5,,,,31.76 km/kg,915 kg,5,165 mm,Ventilated Disc,Drum,Macpherson strut with Coil Spring,Coupled Torsion Beam Axle with coil spring,1420 mm,1410 mm,165/70R14,165/70R14,Electric Power,All Windows,,,59bhp@6000rpm,78Nm@3500rpm,Digital,Analog,Not on offer,Yes,5,Fabric,Manual,2425 mm,165/70R14,,,Not on offer,,Yes,2 years /40000 Kms (years/distance whichever comes first),,Manual,235,,Yes,Yes,Digital,Front,Yes,Front & Rear,Yes,"3rd/4th year/up to 80,000 Kms (whichever comes first)",,Internal,Digital,Manual,Analog + Digital,Yes,4.7,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,Yes,,,,,,,Yes,,,,,,,,Yes,,1350 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,,,,2,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Hyundai,Santro,Era Mt,1086,4,4,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,35,Petrol,1560,3610,1645,Hatchback,4,,,20.3 km/litre,,,5,,,,,,"1,476 (R13) mm","1,494 (R13) mm",,,Electric Power,Only Front Windows,,,69PS@5500rpm,99.04nm@4500RPM,Analog,Analog,Analog,Yes,5,Fabric,Manual,2400 mm,,,Yes,Not on offer,,Yes,,,"With Remote, Internal",,,,Yes,Analog,Front & Rear,Yes,Front & Rear,Yes,,,"With Remote, Internal",Digital,,Analog,Yes,,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,,,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,,,Driver frontal airbag,Yes,Yes,Yes,Yes,1,,,,,,Yes,,,,,,Multifunction Steering Wheel,Yes,,Manual Adjustment,,Yes,,,,,,,,,,,,,,,,,,,,,
47,Hyundai,Santro,Magna Mt,1086,4,4,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,35,Petrol,1560,3610,1645,Hatchback,4,,,20.3 km/litre,,,5,,,,,,1476 mm,1494 mm,,,Electric Power,All Windows,,Remote,69PS@5500rpm,99.04nm@4500RPM,Analog,Analog,Analog,Yes,5,Fabric,Manual,2400 mm,,,1,Not on offer,,Yes,,,"With Remote, Manual, Internal",,,Yes,Yes,Analog,Front & Rear,Yes,Front & Rear,Yes,,,"With Remote, Internal",Digital,,Analog + Digital,Yes,,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,,,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,,,Driver frontal airbag,Yes,Yes,Yes,Yes,1,,,,,,Yes,,,,,,,Yes,,Manual Adjustment,,Yes,Yes,,,,,,,,,,,,,,,,,,,,
48,Hyundai,Santro,Magna Mt Cng,1086,4,4,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,35,CNG,1560,3610,1645,Hatchback,4,,,,30.48 km/kg,,5,,,,,,1476 mm,1494 mm,,,Electric Power,All Windows,,,59PS@5500RPM,99.04nm@4500RPM,Digital,Digital,Analog,Yes,5,Fabric,Manual,2400 mm,,,1,Not on offer,,Yes,,,"With Remote, Manual, Internal",,,Yes,Yes,Analog,Front & Rear,Yes,Front & Rear,Yes,,,"Internal, With Remote",Digital,,Analog + Digital,Yes,,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,Yes,,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,,,Driver frontal airbag,Yes,Yes,Yes,Yes,1,,Rake,,,,Yes,,,,,,,Yes,,Manual Adjustment,,Yes,,,,,,,,,,,,,,,,,,,,,
